gait number,px,py,pz,vx,vy,vz,ax,ay,az,
12,-0.00186223,-0.00486795,-0.00496008,-0.0300614,-0.108862,0.0876804,-0.00029846,-0.156788,0.143005,
12,-0.00216749,-0.00605987,-0.00468944,-0.030991,-0.129523,0.104671,0.016512,-0.166934,0.172619,
12,-0.00247897,-0.00746754,-0.00424762,-0.0313046,-0.152011,0.121919,0.0122614,-0.194033,0.148236,
12,-0.00280199,-0.00910572,-0.00363859,-0.0333003,-0.175624,0.138112,-0.0177826,-0.189876,0.151137,
12,-0.00316439,-0.0109812,-0.00285712,-0.0391788,-0.19947,0.156407,-0.0668994,-0.198791,0.191072,
12,-0.0035999,-0.0131042,-0.00188903,-0.047924,-0.225137,0.175435,-0.0762265,-0.226989,0.166077,
12,-0.00413865,-0.0154964,-0.000732243,-0.0598264,-0.253289,0.194148,-0.131266,-0.249458,0.184655,
12,-0.00480973,-0.0181941,0.000616108,-0.0743893,-0.286253,0.213748,-0.130468,-0.325082,0.184154,
12,-0.00564812,-0.0212614,0.00218367,-0.0932892,-0.327206,0.23799,-0.219684,-0.412346,0.279304,
12,-0.00672775,-0.0247836,0.00402254,-0.122635,-0.377243,0.26801,-0.343437,-0.510268,0.301958,
12,-0.00815336,-0.028852,0.00614661,-0.162488,-0.43643,0.295029,-0.433901,-0.598905,0.218108,
12,-0.00998962,-0.0335683,0.00852233,-0.204764,-0.506827,0.31834,-0.392816,-0.738794,0.226369,
12,-0.0122612,-0.0390537,0.0111546,-0.249561,-0.590252,0.346335,-0.485312,-0.864536,0.313602,
12,-0.0150422,-0.0454086,0.0141316,-0.306629,-0.68073,0.387294,-0.642997,-0.88257,0.490666,
12,-0.0184263,-0.0526611,0.017587,-0.370192,-0.769769,0.442014,-0.617708,-0.835204,0.594169,
12,-0.0224408,-0.0607945,0.0217197,-0.432701,-0.856921,0.522749,-0.621522,-0.844092,1.02102,
12,-0.0269332,-0.06977,0.0266937,-0.465777,-0.938168,0.610275,-0.0176563,-0.714812,0.732622,
12,-0.0317861,-0.0795447,0.0326204,-0.504808,-1.01678,0.71329,-0.742916,-0.790441,1.33681,
12,-0.037272,-0.0901751,0.0398335,-0.592374,-1.10929,0.867554,-1.00715,-0.998018,1.77745,
12,-0.0436415,-0.101788,0.0485347,-0.68153,-1.21332,1.01091,-0.775352,-1.0254,1.11438,
12,-0.0508569,-0.114446,0.0581663,-0.761545,-1.31818,1.05365,-0.820773,-1.01502,-0.273756,
12,-0.0589442,-0.12825,0.0675947,-0.855915,-1.44275,0.970241,-1.06802,-1.4271,-1.45752,
12,-0.0679893,-0.143426,0.0762477,-0.953107,-1.59244,0.898585,-0.878293,-1.52705,-0.0341241,
12,-0.0780864,-0.160176,0.0846036,-1.06631,-1.75759,0.910823,-1.39454,-1.74242,0.252854,
12,-0.0892394,-0.178457,0.0926867,-1.16428,-1.89851,0.844032,-0.567629,-1.03308,-1.64532,
12,-0.101149,-0.197906,0.0996995,-1.2176,-1.9913,0.69674,-0.484258,-0.761291,-1.38836,
12,-0.113495,-0.218157,0.105314,-1.25169,-2.0589,0.564397,-0.175496,-0.519291,-1.34053,
12,-0.126094,-0.238996,0.109609,-1.26812,-2.10897,0.432863,-0.124386,-0.403959,-1.37186,
12,-0.138864,-0.260324,0.112619,-1.28586,-2.15649,0.307239,-0.202054,-0.46751,-1.22005,
12,-0.151864,-0.282162,0.114419,-1.31409,-2.21113,0.191116,-0.338222,-0.54882,-1.17817,
12,-0.165202,-0.304586,0.115089,-1.35346,-2.27373,0.0810665,-0.429303,-0.629915,-1.09622,
12,-0.178952,-0.327667,0.114705,-1.39661,-2.34244,-0.0196031,-0.415222,-0.673458,-0.986942,
12,-0.193104,-0.351446,0.113369,-1.43378,-2.4134,-0.109409,-0.307559,-0.675708,-0.874743,
12,-0.207583,-0.375935,0.111191,-1.46204,-2.48442,-0.188021,-0.233269,-0.674748,-0.758709,
12,-0.22232,-0.401138,0.108277,-1.48531,-2.55609,-0.256461,-0.206158,-0.688898,-0.667394,
12,-0.237278,-0.427062,0.104724,-1.50628,-2.62888,-0.316007,-0.186148,-0.697594,-0.577355,
12,-0.252436,-0.453713,0.10062,-1.52537,-2.70119,-0.366441,-0.167782,-0.679192,-0.481644,
12,-0.267768,-0.481075,0.0960598,-1.54106,-2.77124,-0.407455,-0.117049,-0.651321,-0.385288,
12,-0.283225,-0.509121,0.09114,-1.5502,-2.83793,-0.438283,-0.0340105,-0.610813,-0.273997,
12,-0.298743,-0.537814,0.085973,-1.5535,-2.90077,-0.456891,0.00188216,-0.572831,-0.136133,
12,-0.314283,-0.567108,0.0806894,-1.55456,-2.95798,-0.4616,0.0116443,-0.496035,0.00934905,
12,-0.329835,-0.59694,0.0754225,-1.55576,-3.00843,-0.45356,-0.00100313,-0.435011,0.123796,
12,-0.345408,-0.627248,0.0702794,-1.55888,-3.05324,-0.436841,-0.0274798,-0.381087,0.186286,
12,-0.361021,-0.657977,0.0653234,-1.56367,-3.0925,-0.41613,-0.0348829,-0.321875,0.20518,
12,-0.376674,-0.689067,0.0605865,-1.56705,-3.12539,-0.393013,0.00101869,-0.251089,0.235334,
12,-0.392339,-0.720444,0.0561017,-1.56591,-3.15003,-0.365729,0.057452,-0.153835,0.290131,
12,-0.407971,-0.752024,0.0519273,-1.56047,-3.16613,-0.330923,0.088572,-0.0768922,0.388715,
12,-0.423526,-0.78372,0.0481799,-1.55041,-3.17301,-0.280329,0.151745,0.0341444,0.611977,
12,-0.438974,-0.815405,0.0450741,-1.5392,-3.16397,-0.202616,0.111871,0.247762,0.941608,
12,-0.45432,-0.846891,0.042878,-1.53002,-3.1333,-0.0983713,0.110626,0.474929,1.1529,
12,-0.46957,-0.877952,0.0417857,-1.51994,-3.07884,0.018139,0.129873,0.732944,1.19166,
