gait number,px,py,pz,vx,vy,vz,ax,ay,az,
1,0.530598,-0.828603,0.0258839,1.54478,-2.40914,-0.0141563,-0.171066,0.666759,0.630325,
1,0.545949,-0.852339,0.0254979,1.52527,-2.33809,0.0502432,-0.276469,0.870449,0.655706,
1,0.561051,-0.875258,0.0257672,1.49515,-2.24568,0.116909,-0.387642,1.10213,0.676523,
1,0.5758,-0.897156,0.0266963,1.4548,-2.13405,0.182202,-0.484782,1.26234,0.627738,
1,0.590102,-0.917885,0.0282351,1.40548,-2.01161,0.238839,-0.570629,1.32248,0.500035,
1,0.603876,-0.937368,0.0302744,1.34938,-1.88515,0.282309,-0.623002,1.34419,0.359287,
1,0.617069,-0.95558,0.0326775,1.28911,-1.75715,0.311593,-0.655825,1.35406,0.210843,
1,0.629647,-0.972511,0.0352942,1.22661,-1.62909,0.325045,-0.668182,1.34535,0.0364943,
1,0.641596,-0.988165,0.0379502,1.16313,-1.50168,0.319427,-0.676092,1.34083,-0.177936,
1,0.652907,-1.00254,0.0404443,1.09901,-1.3731,0.292691,-0.680949,1.3691,-0.394042,
1,0.663582,-1.01562,0.0425731,1.03595,-1.2433,0.24635,-0.654604,1.36583,-0.57763,
1,0.673616,-1.0274,0.044142,0.971036,-1.11205,0.180714,-0.718763,1.39857,-0.787415,
1,0.682973,-1.03784,0.0449744,0.90024,-0.976609,0.0990495,-0.774504,1.45131,-0.904418,
1,0.691604,-1.04691,0.0449576,0.825975,-0.836747,0.0108811,-0.789473,1.48871,-0.920007,
1,0.699473,-1.05456,0.0440544,0.747858,-0.693107,-0.0782245,-0.853053,1.52833,-0.923524,
1,0.706514,-1.06075,0.0422583,0.66039,-0.546489,-0.167726,-0.980114,1.54942,-0.928076,
1,0.712681,-1.0655,0.0396585,0.572908,-0.402489,-0.238933,-0.853338,1.47497,-0.550547,
1,0.7182,-1.06879,0.0366349,0.530953,-0.255333,-0.252503,-0.0519245,1.61375,0.246975,
1,0.723267,-1.07094,0.0332757,0.482426,-0.17577,-0.306051,-0.987346,0.0969105,-1.36557,
1,0.727746,-1.07278,0.0294059,0.413344,-0.190743,-0.354619,-0.470965,-0.313562,0.348488,
1,0.731788,-1.07503,0.0256824,0.395025,-0.260704,-0.276812,0.0475683,-1.02416,1.21089,
1,0.735573,-1.07802,0.0225772,0.362011,-0.335583,-0.23093,-0.770551,-0.41383,-0.302381,
1,0.738697,-1.08146,0.0194805,0.262866,-0.353533,-0.27512,-1.30068,0.136469,-0.625453,
1,0.74075,-1.08466,0.0162843,0.147642,-0.286034,-0.250847,-1.09835,1.32825,1.09343,
1,0.741886,-1.08669,0.0138681,0.079693,-0.120727,-0.119109,-0.336877,2.13054,1.56544,
1,0.742594,-1.08745,0.0124354,0.0618719,-0.0315927,-0.0541294,-0.0763695,-0.224735,-0.267577,
1,0.743308,-1.08785,0.0113179,0.0809112,-0.046767,-0.0560817,0.414608,0.00396891,0.200871,
1,0.744171,-1.08824,0.0102636,0.0916588,-0.0326327,-0.0415011,-0.245414,0.372791,0.069484,
1,0.745015,-1.08847,0.0092953,0.0770523,-0.0117625,-0.0388703,-0.102296,0.141296,-0.0427542,
1,0.745748,-1.08852,0.0083572,0.0696128,0.0006869,-0.0354644,-0.0992954,0.201112,0.0852869,
1,0.746368,-1.08847,0.00747251,0.054388,0.00855556,-0.0281868,-0.261021,0.0479073,0.036181,
1,0.746818,-1.08838,0.00665336,0.0355637,0.00936415,-0.0223561,-0.172676,0.0571756,0.0557866,
1,0.747082,-1.08829,0.0058961,0.0172733,0.00892781,-0.0158094,-0.25014,0.0225266,0.0507781,
1,0.747147,-1.08821,0.00520055,-0.00431069,0.00688689,-0.0100142,-0.239821,0.0244624,0.0404657,
1,0.747021,-1.08815,0.00455491,-0.0207367,0.00551973,-0.00582635,-0.144982,0.0362628,0.0180096,
1,0.746784,-1.0881,0.00394086,-0.0268038,0.00471637,-0.00369854,-0.0286322,0.0359566,-0.00153381,
1,0.746527,-1.08806,0.0033419,-0.0245024,0.00341426,-0.00280615,0.025631,0.0260947,-0.00717716,
1,0.746306,-1.08803,0.00275023,-0.0197604,0.00209669,-0.00224219,0.0211235,0.0356415,-0.00822974,
1,0.746133,-1.08801,0.00216411,-0.0147791,0.00179064,-0.00169559,0.0305105,0.0467168,-0.00753124,
1,0.746013,-1.08799,0.00158214,-0.00927945,0.00225819,-0.00141101,0.0316922,0.0514132,-0.0135715,
1,0.745945,-1.08797,0.00100248,-0.00434759,0.00308826,-0.00123498,0.0189341,0.0541077,-0.00974433,
1,0.745914,-1.08793,0.000424925,-0.00183523,0.00326135,-0.000989564,-0.0176351,0.038019,-0.0121568,
2,0,0,0,0,0,0,0,0,0,
2,4.89125e-05,-4.76003e-05,-0.00081645,0.0097825,-0.00952007,-0.00108846,-0.00290015,0.00225289,0.0118579,
2,0.000171447,-0.000179619,-0.00163987,0.0147245,-0.0168837,-0.00139369,-0.0986858,0.0439645,0.0159679,
2,0.000320108,-0.000378017,-0.00246636,0.0150077,-0.022796,-0.00170222,-0.0978796,0.0318416,0.0117906,
2,0.000479171,-0.000641052,-0.00329238,0.0168049,-0.029811,-0.00130154,-0.0678196,0.0214832,0.0304267,
2,0.000652572,-0.00097151,-0.00410683,0.0178754,-0.0362806,0.000613068,-0.112694,0.04296,0.0426557,
2,0.000826218,-0.00135668,-0.00490041,0.0168538,-0.0407532,0.00287396,-0.110474,0.0621976,0.0374866,
2,0.000993255,-0.00177922,-0.00567461,0.0165535,-0.043755,0.00448686,-0.0979882,0.0729456,0.0294448,
2,0.00115985,-0.00223988,-0.00643528,0.0167659,-0.0483762,0.0055804,-0.100022,0.0291828,0.0268982,
2,0.00133789,-0.00275845,-0.00718237,0.0188411,-0.0553387,0.00720388,-0.0600093,0.0252109,0.0402489,
2,0.00154363,-0.00334818,-0.00790756,0.0223068,-0.0626071,0.0099593,-0.0716735,0.0229482,0.0499753,
2,0.00177515,-0.00401118,-0.00859851,0.0239986,-0.0699925,0.0140519,-0.0961744,0.0228241,0.0675109,
2,0.0020208,-0.00474482,-0.00924062,0.0251308,-0.0767354,0.019729,-0.083082,0.036048,0.0822782,
2,0.00228573,-0.00554689,-0.0098205,0.0278548,-0.0836792,0.0264965,-0.0637228,0.0187291,0.0897433,
2,0.00257902,-0.00642117,-0.0103257,0.0308042,-0.0911778,0.0346638,-0.0784859,0.0247364,0.110813,
2,0.0028981,-0.00737132,-0.0107398,0.0330111,-0.098852,0.0447231,-0.0788602,0.0151481,0.128319,
2,0.0032414,-0.00841617,-0.0110429,0.0356488,-0.110116,0.0568545,-0.069705,-0.0484567,0.153055,
2,0.00359868,-0.00961286,-0.0112163,0.0358071,-0.129223,0.0706643,-0.129407,-0.144728,0.16254,
2,0.00393192,-0.010997,-0.0112489,0.0308404,-0.147605,0.0850241,-0.174189,-0.033701,0.164268,
2,0.00419944,-0.0125568,-0.0111391,0.0226653,-0.164356,0.0991227,-0.19482,-0.111464,0.157215,
2,0.00440142,-0.0143002,-0.0108884,0.0177306,-0.184316,0.113219,-0.108123,-0.099126,0.164217,
2,0.00458569,-0.016246,-0.0104924,0.0191224,-0.204846,0.128198,-0.0658425,-0.12308,0.175209,
2,0.00479767,-0.0184022,-0.0099489,0.0232734,-0.226405,0.142699,-0.0518681,-0.120104,0.154486,
2,0.00505509,-0.0207754,-0.00925453,0.0282116,-0.248235,0.158375,-0.0497943,-0.128622,0.199159,
2,0.00537108,-0.0233908,-0.00838867,0.0349855,-0.27484,0.177,-0.0144431,-0.217437,0.214595,
2,0.00578687,-0.026311,-0.00732366,0.0481734,-0.309194,0.198203,0.0809704,-0.286613,0.251729,
2,0.00638064,-0.0296104,-0.00602958,0.0705797,-0.350694,0.222814,0.173495,-0.363117,0.284078,
2,0.00725495,-0.033377,-0.00446801,0.104282,-0.402623,0.251702,0.311264,-0.49924,0.338917,
2,0.00849159,-0.0377152,-0.00263107,0.143046,-0.465024,0.277886,0.276692,-0.576599,0.228961,
2,0.0100921,-0.0427033,-0.000558755,0.17705,-0.532593,0.298779,0.214218,-0.60462,0.231038,
2,0.012076,-0.0483903,0.0017194,0.219738,-0.604793,0.319053,0.453743,-0.670997,0.216334,
2,0.0145185,-0.0548028,0.00422032,0.268764,-0.677711,0.343332,0.343433,-0.619279,0.31271,
2,0.0174035,-0.061947,0.0070653,0.308236,-0.751127,0.387866,0.258942,-0.681125,0.62927,
2,0.0205777,-0.0698772,0.0104185,0.32661,-0.834925,0.444968,-0.0866785,-0.830967,0.568939,
2,0.02398,-0.0786371,0.0144252,0.353834,-0.917045,0.518585,0.439367,-0.646904,0.965962,
2,0.0279426,-0.0881843,0.019317,0.438686,-0.992401,0.621969,1.08821,-0.69306,1.1758,
2,0.0329059,-0.0985208,0.025317,0.553987,-1.07489,0.740235,1.06013,-0.792346,1.26937,
2,0.0390362,-0.109767,0.0324747,0.67207,-1.17438,0.853507,1.14493,-1.0397,1.07399,
2,0.0464119,-0.122111,0.0405462,0.803067,-1.29449,0.923004,1.32342,-1.21254,0.376918,
2,0.0550536,-0.135634,0.0489692,0.925272,-1.41,0.923791,0.965663,-0.946178,-0.326834,
2,0.0646002,-0.150319,0.056943,0.984049,-1.52697,0.833162,0.030311,-1.24223,-1.4868,
2,0.0746238,-0.166179,0.0645267,1.02067,-1.64513,0.845796,0.514014,-0.970369,1.77844,
2,0.0851455,-0.183236,0.0724248,1.08367,-1.76624,0.896025,0.567897,-1.30244,-0.720366,
2,0.0963187,-0.201478,0.0799673,1.15097,-1.88206,0.774673,0.601971,-0.862339,-1.71962,
2,0.108155,-0.220749,0.0860615,1.21626,-1.97215,0.606376,0.526775,-0.778021,-1.67747,
2,0.120566,-0.240869,0.0905164,1.26605,-2.05196,0.446806,0.285971,-0.652857,-1.54169,
2,0.133351,-0.261734,0.0934303,1.29081,-2.121,0.298166,0.0164658,-0.558372,-1.45464,
2,0.146303,-0.283268,0.094948,1.29961,-2.18579,0.167576,-0.0394391,-0.565999,-1.1737,
2,0.159362,-0.305464,0.0952537,1.31225,-2.2534,0.055768,0.0948767,-0.616065,-1.07171,
2,0.172618,-0.328363,0.0945035,1.33883,-2.32635,-0.0436104,0.244526,-0.675011,-0.920301,
2,0.186177,-0.352005,0.0928461,1.37298,-2.40208,-0.125659,0.249458,-0.672542,-0.718397,
2,0.200052,-0.376393,0.0904563,1.40208,-2.47556,-0.190112,0.141418,-0.629101,-0.561595,
2,0.214168,-0.401492,0.0874898,1.42109,-2.54417,-0.240972,0.0437773,-0.573299,-0.441254,
2,0.228436,-0.427251,0.0840619,1.43255,-2.60765,-0.282401,-0.0123766,-0.524567,-0.369329,
2,0.242801,-0.453626,0.0802487,1.44048,-2.6673,-0.318044,-0.0283817,-0.495154,-0.323278,
2,0.257236,-0.480584,0.0761048,1.44651,-2.72434,-0.348525,-0.0509182,-0.471511,-0.264106,
2,0.271715,-0.508093,0.0716967,1.44921,-2.77757,-0.370901,-0.0963917,-0.417259,-0.158026,
2,0.28621,-0.536105,0.0671255,1.44989,-2.8247,-0.381144,-0.0920689,-0.347405,-0.0167501,
2,0.30072,-0.564561,0.0625183,1.45203,-2.86656,-0.378089,-0.0667739,-0.309671,0.113069,
2,0.315255,-0.593414,0.0580006,1.45502,-2.90395,-0.363262,-0.074422,-0.256161,0.22327,
2,0.329815,-0.622613,0.0536813,1.45706,-2.9359,-0.338387,-0.0863638,-0.198883,0.317909,
2,0.344382,-0.652102,0.0496495,1.45618,-2.9619,-0.305774,-0.134067,-0.134916,0.381039,
