Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.797098885,0.56230078,-1.266122136,-0.334527319,0.478399083,0.847233741,,,
,0.314439238,5.342544961,-2.913719571,-0.301466972,0.473653925,0.851911927,,,
,5.126940942,12.34449029,-3.254572164,-0.339305912,0.447469419,0.878214679,,,
,14.29386459,18.27981738,-4.473826352,-0.337911417,0.424865341,0.938769317,,,
,36.24210156,36.34173892,-5.329939889,-0.246864526,0.377157288,1.039206014,,,
,90.52492521,39.72150236,-16.15334182,-0.342563099,-0.017166565,1.360870234,,,
,94.0044406,94.02947886,-15.50309202,-0.287404077,0.426047808,1.195689195,,,
,133.465992,73.91785811,-9.822387369,-0.480230989,0.158700917,1.06430897,,,
,183.0989194,98.50382087,-29.96500514,-0.85646208,1.413516004,0.794731397,,,
,244.5440019,13.34493189,-3.670997889,-1.351770234,1.334546789,0.452190214,,,
,125.6331433,33.07713999,-20.55692355,-1.11816055,2.737095311,1.011609072,,,
,-5.299916901,72.97923865,-8.916999461,-0.633412946,1.971991947,0.612733945,,,
,1.900902077,107.1291275,4.082266995,-0.821280734,0.837910601,0.411140469,,,
,67.35766324,86.45480492,16.39369762,-1.119810499,0.603404893,0.650682365,,,
,79.60177132,70.37107747,8.78126576,-0.851755657,0.945073089,0.65145841,,,
,51.32882515,80.57900814,-9.899278305,-0.657835576,0.938592355,0.580175433,,,
,39.92897038,86.58446527,-29.52050448,-0.661143527,0.611727829,0.534526707,,,
,53.21437196,78.30488135,-40.46944146,-0.654953823,0.442063405,0.521616412,,,
,60.50720795,67.88106019,-43.79838355,-0.522479918,0.472720591,0.468908053,,,
,54.53131545,68.55978599,-41.98159168,-0.367914169,0.488732212,0.396234353,,,
,45.26727545,72.85341712,-35.71051131,-0.29228369,0.404569725,0.359366157,,,
