Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.675746424,-0.171543564,-0.350478283,-0.353614475,0.446039144,0.823371356,,,
,-0.956209264,0.677579889,0.732182766,-0.353612538,0.448353211,0.823375841,,,
,0.561441343,0.104736685,0.491597788,-0.355188379,0.447586442,0.823410194,,,
,-0.266883741,-0.674142142,-0.091444064,-0.355186952,0.446818043,0.822631397,,,
,-0.865510045,0.255252698,0.267112924,-0.350462895,0.447572681,0.823302446,,,
,-0.862759848,0.562873738,0.321314732,-0.355188379,0.447586442,0.823410194,,,
,-0.165183732,0.285562165,-0.339592085,-0.355185015,0.449132008,0.822635882,,,
,-1.128039307,0.19291489,-0.147994998,-0.353607747,0.449130377,0.821822528,,,
,-0.457163025,0.559607879,0.275077037,-0.350462895,0.447572681,0.823302446,,,
,-0.568316837,-0.062796174,-0.091329473,-0.348899388,0.448321611,0.827932212,,,
,-0.872672018,0.293583574,-0.14404159,-0.352043527,0.446028644,0.824890112,,,
,0.762091163,0.754700008,0.139056857,-0.352839348,0.446019062,0.828017533,,,
,0.133384575,1.02863113,-0.947500306,-0.349700102,0.447534862,0.832612946,,,
,0.754700008,2.358752651,-0.67144924,-0.345756881,0.453694088,0.832535066,,,
,1.049601385,3.20397999,-1.327944282,-0.347305301,0.470685933,0.827939653,,,
,-0.685486706,2.644486703,-1.611042728,-0.383535576,0.464626707,0.827199185,,,
,-2.648096338,0.987148985,-2.728997978,-0.380380326,0.492359123,0.834177472,,,
,-6.246271291,-2.806862943,-3.890211542,-0.358352599,0.477621611,0.838310296,,,
,-8.596257688,-4.786202942,-3.988301916,-0.372521509,0.474592355,0.834740775,,,
,-7.988234875,-3.528388694,-4.434578743,-0.372503058,0.449965749,0.819923038,,,
,-8.074006657,-3.809882859,-3.566203908,-0.347328848,0.442917635,0.827885831,,,
,-7.555078782,-2.283294109,-3.497964635,-0.336327319,0.425901325,0.831488379,,,
,-5.915731939,-1.915913571,-3.008601382,-0.35839419,0.421322732,0.835869113,,,
,-6.267757208,-2.410605331,-2.605353686,-0.362306014,0.422912334,0.826633537,,,
,-5.769627701,-3.20506861,-0.239267175,-0.365451376,0.419076656,0.823588379,,,
,-4.357344032,-3.324988677,-0.682564621,-0.364633945,0.432213761,0.816599592,,,
,-4.658605241,-3.872335258,-0.228495569,-0.339423038,0.453723038,0.819953517,,,
,-4.770847673,-3.940975602,-0.795494603,-0.337869215,0.46755525,0.832382365,,,
,-6.101599448,-5.368671836,-1.081056768,-0.370981651,0.447573089,0.839316718,,,
,-5.793978407,-6.279846618,-0.830330437,-0.362338328,0.404376555,0.832816514,,,
