Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.662912169,0.302750899,0.167532859,-0.3567737,0.442954128,0.825769317,,,
,-0.445245503,-0.027616566,1.042038342,-0.355190214,0.442961366,0.822623955,,,
,-0.476987364,-0.484263928,-0.556112836,-0.355201937,0.441403874,0.826507747,,,
,-0.558003597,-0.046409581,0.423530402,-0.356779409,0.446027625,0.828884709,,,
,-1.46969404,0.920628585,0.264420022,-0.370967278,0.435267176,0.829964424,,,
,-1.37412468,-0.148166886,0.308938843,-0.362284811,0.442973089,0.825117635,,,
,-1.068222513,-0.552560498,0.463694744,-0.355986035,0.440640775,0.824969521,,,
,-0.864478721,0.154927788,0.317590506,-0.352045464,0.443714577,0.824885627,,,
,-0.568488724,-0.012948846,-0.142208125,-0.355204077,0.443711927,0.828066972,,,
,-0.963715011,-0.548263314,0.619539264,-0.3552,0.443717839,0.826512232,,,
,-0.658213915,0.359989383,0.373511187,-0.358354944,0.438327727,0.826573598,,,
,-0.459053785,-0.15177652,0.320970957,-0.355198573,0.442949541,0.825733333,,,
,-0.765643502,0.09923629,0.164381591,-0.355985423,0.441412029,0.824970948,,,
,-0.565165569,-0.259779064,0.112929981,-0.353624771,0.443713252,0.826476351,,,
,-1.277925066,0.144901026,-0.048243046,-0.350474414,0.443704077,0.826404485,,,
,-0.568889795,0.542591032,-0.292380363,-0.352835066,0.443713965,0.825680938,,,
,-0.069614372,-0.030309467,-0.649906027,-0.355206116,0.441397961,0.828062487,,,
,-0.300401772,0.412529612,0.481628323,-0.353629562,0.442935984,0.828029562,,,
,-0.376204088,0.120435729,-0.75561674,-0.355200612,0.442946585,0.826510703,,,
,-0.059759498,0.643087829,-0.284588137,-0.355197757,0.441409786,0.824953007,,,
,-0.553591822,1.021812932,0.380100201,-0.355985423,0.441412029,0.824970948,,,
,-0.059301132,0.745360796,-0.283499517,-0.358344037,0.441424873,0.823470133,,,
,-0.109778714,0.08932412,-0.083823725,-0.35519368,0.441415698,0.823398267,,,
,-0.359244538,-0.155042379,0.219500131,-0.356772987,0.441414373,0.824988889,,,
,-1.063409668,0.71774423,0.370760989,-0.356777064,0.441408461,0.826543629,,,
,-0.260523909,0.446162235,-0.083136176,-0.353620591,0.443719164,0.824921611,,,
,-0.056550934,-0.059071949,0.070072738,-0.355200612,0.442946585,0.826510703,,,
,-0.647327717,0.176700184,1.040720539,-0.35519368,0.441415698,0.823398267,,,
,-0.915643852,0.760200403,0.116023954,-0.355200612,0.442946585,0.826510703,,,
,-0.577140387,-0.682392734,-0.404450908,-0.3591316,0.441427217,0.823488073,,,
,-0.95735518,0.067723611,0.778363165,-0.355201121,0.439864118,0.825727421,,,
,-1.476283055,-0.148567956,0.306933491,-0.353617125,0.442953823,0.823365341,,,
