Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,0.751720627,1.250881458,-0.263961656,-0.345549235,0.444539755,0.834981651,,,
,1.060029217,1.357050538,-0.10439291,-0.349479511,0.443791743,0.831960449,,,
,1.266523206,1.765741333,-0.046810652,-0.351840265,0.443801631,0.831237003,,,
,1.366045975,1.509170832,-0.098777924,-0.352629867,0.443800917,0.832032314,,,
,1.475480914,1.574086951,0.366120031,-0.348672069,0.447669827,0.825731091,,,
,1.159322803,1.859649116,-0.304756251,-0.343951478,0.449189806,0.82795841,,,
,1.574258838,2.175005086,0.063369132,-0.343160449,0.450733129,0.827166157,,,
,-0.071390541,1.797368603,-0.835773536,-0.348668196,0.452297859,0.825740061,,,
,0.63139949,1.730389837,-1.289269631,-0.351815698,0.450770234,0.82425423,,,
,0.552732385,2.979724309,-0.406914626,-0.348666667,0.449218349,0.824179409,,,
,-0.477388435,3.567750895,-1.290415546,-0.353394292,0.449229154,0.825064526,,,
,-0.991388873,2.399776429,-1.254777571,-0.355746687,0.449250866,0.8212316,,,
,-2.724185133,3.256921291,-1.734744316,-0.35653843,0.449247299,0.822804281,,,
,-3.737403698,4.277244532,-1.791868208,-0.354957288,0.456184709,0.822781855,,,
,-6.055934711,4.183623228,-3.469603224,-0.36441998,0.452343731,0.826099286,,,
,-6.487830297,4.396018683,-4.863437652,-0.353394801,0.446146789,0.824281142,,,
,-6.439701843,4.592657798,-5.067754402,-0.347097961,0.441500408,0.824128542,,,
,-5.19770123,4.317924536,-3.871132047,-0.336093782,0.439896024,0.831647706,,,
,-6.249823629,5.280321744,-5.881354471,-0.347079409,0.458475739,0.822606728,,,
,-5.738401501,3.714943752,-5.423790376,-0.364427625,0.438465647,0.824517737,,,
,-6.633075098,3.700619807,-4.356083525,-0.370726809,0.435404587,0.823100714,,,
,-5.821423086,2.481823985,-4.2002963,-0.388056269,0.41310999,0.817233537,,,
,-5.583187235,0.613981573,-2.000482142,-0.403842508,0.396928236,0.825334964,,,
,-4.191014384,-1.478632182,-0.352254452,-0.405395209,0.389260958,0.814472885,,,
,-3.587460643,-3.057016316,-0.202941651,-0.380976249,0.398439857,0.815488787,,,
,-3.720730626,-4.289276646,1.123742124,-0.383359021,0.413826096,0.828010296,,,
,-3.986697634,-5.663401326,1.213639202,-0.340773293,0.474643527,0.825603874,,,
,-4.583203995,-5.316589973,-0.747538035,-0.309254128,0.483048318,0.821792457,,,
,-6.632272958,-6.196366667,-1.452276123,-0.315568909,0.456853109,0.818775841,,,
