Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,0.243392471,0.398320259,0.083422655,-0.345513863,0.456916616,0.825677268,,,
,0.556571202,0.965663068,0.349103185,-0.347091641,0.453835882,0.825707136,,,
,0.451548038,0.254278669,0.393622005,-0.343934557,0.456917941,0.824086544,,,
,0.459111081,1.176110466,0.555253399,-0.345505607,0.45692844,0.822567788,,,
,0.907908922,0.553935596,0.248090725,-0.34629735,0.456924873,0.824140469,,,
,0.753439501,1.359972623,-0.056149864,-0.345507136,0.460007849,0.824128542,,,
,-0.37482899,1.954301743,-0.73539133,-0.345505097,0.462321916,0.824133028,,,
,1.07166026,1.786482405,0.569004386,-0.351788379,0.45851315,0.816495617,,,
,-1.076186627,1.015338509,0.07127595,-0.358094088,0.460065341,0.818974312,,,
,-2.610166531,2.67290541,-0.81222497,-0.342338838,0.461565036,0.817840775,,,
,-3.344068171,3.54907247,-2.203996751,-0.337610703,0.464636595,0.81773894,,,
,-3.643495915,3.556750105,-1.952239095,-0.328174414,0.456883894,0.820617941,,,
,-5.069473276,4.012595327,-2.224680527,-0.336836595,0.458451784,0.820818552,,,
,-3.741758177,3.259900671,-1.749010965,-0.351802446,0.449248318,0.818809684,,,
,-2.740170655,1.917460557,-2.2087523,-0.34708736,0.449219674,0.822588787,,,
,-2.212132751,2.250692811,-1.222577343,-0.337631397,0.449969419,0.82081998,,,
,-2.214252695,3.004361495,-1.575977711,-0.347092966,0.452293272,0.825704179,,,
,-2.110031672,1.949431602,-1.119215757,-0.35337788,0.453874924,0.820409378,,,
,-2.014806087,1.535011229,-1.37779161,-0.365975535,0.44621315,0.816795005,,,
,-1.739843641,0.606475826,-0.045149074,-0.358107645,0.441556269,0.81816106,,,
,-0.569806527,0.401414231,0.071848908,-0.350233333,0.444612742,0.819542202,,,
,-0.052311047,-0.646124506,0.841904184,-0.35022895,0.439996534,0.816423751,,,
,-0.258518557,-1.461156969,0.781342545,-0.36600632,0.424597961,0.821417227,,,
,-1.671031409,-0.62773256,1.231515485,-0.358107441,0.436934149,0.816597452,,,
,-1.678823636,0.017933579,0.671506536,-0.364397248,0.440049745,0.813637615,,,
,-2.488928662,-2.346032988,1.516963058,-0.369107136,0.44393792,0.809088685,,,
,-1.477543562,-3.874168723,1.672406508,-0.353357492,0.446200102,0.810288685,,,
,-2.206460469,-5.51483337,1.289269631,-0.331296024,0.461556575,0.811370438,,,
,-2.765609981,-5.210249006,1.28262332,-0.301368909,0.474564322,0.815377472,,,
,-0.886652188,-5.322777917,1.10288646,-0.323443833,0.467662895,0.822085831,,,
,-1.67618803,-5.585880136,2.274928926,-0.369144852,0.453128848,0.826208563,,,
,-2.49832517,-7.116651478,2.097312009,-0.373908155,0.447695923,0.838743629,,,
,-3.322009296,-7.787756943,1.822292267,-0.336107441,0.467610805,0.845693986,,,
,-3.740211191,-4.926692193,0.449370799,-0.324297757,0.46757054,0.846979307,,,
,-4.165918833,-2.934002277,-1.032813722,-0.315617023,0.468340265,0.840564322,,,
,-2.783944631,-0.34984803,-1.302963322,-0.320360754,0.456772171,0.843759123,,,
,-2.21975309,1.37263499,-1.58984329,-0.342422936,0.442955352,0.843457696,,,
,-0.469195138,1.050059751,-0.282811968,-0.339260958,0.44450367,0.839502141,,,
,0.481571027,1.983980957,-1.290472842,-0.342396228,0.447615902,0.8349158,,,
,0.253763007,2.583638586,-0.054488286,-0.348692049,0.44610051,0.832724363,,,
,1.252543036,2.80485759,-1.016312537,-0.342379613,0.447639653,0.82869684,,,
